Order Date,Sales,Type,Category,Lower Bound,Upper Bound
2018-12-01,33316.38162854454,Forecast,Office Supplies,25149.47090624632,42121.502473587425
2019-01-01,17059.07125376146,Forecast,Office Supplies,8950.643691961253,26692.1141848538
2019-02-01,15624.504281373585,Forecast,Office Supplies,6406.152139519198,24389.406531617868
2019-03-01,22570.847134221607,Forecast,Office Supplies,13953.757073433108,30749.600285483015
2019-04-01,22846.357360144782,Forecast,Office Supplies,14290.352068353852,31681.55039750689
2019-05-01,19346.35569514596,Forecast,Office Supplies,10861.727860956698,28311.520314497662
2019-06-01,23244.654005068027,Forecast,Office Supplies,13811.33834043409,31840.00005100206
2019-07-01,19427.46357427701,Forecast,Office Supplies,10292.6048366846,28049.06713660644
2019-08-01,25731.399858394016,Forecast,Office Supplies,17186.327154366994,34081.91634435912
2019-09-01,34132.8532241395,Forecast,Office Supplies,25358.126053906042,42125.231074670395
2019-10-01,24273.831367687428,Forecast,Office Supplies,15096.520357492296,33028.17937452899
2019-11-01,33435.73933334403,Forecast,Office Supplies,25082.992868769543,42385.654379340755
2019-12-01,36134.18463943705,Forecast,Office Supplies,27568.39728641815,45216.17533447452
2014-01-01,3143.29,Actual,Technology,,
2014-02-01,1608.51,Actual,Technology,,
2014-03-01,32511.174,Actual,Technology,,
2014-04-01,9195.434,Actual,Technology,,
2014-05-01,9599.876,Actual,Technology,,
2014-06-01,8435.965,Actual,Technology,,
2014-07-01,8004.134,Actual,Technology,,
2014-08-01,9209.66,Actual,Technology,,
2014-09-01,30537.572,Actual,Technology,,
2014-10-01,11938.018,Actual,Technology,,
2014-11-01,30201.408,Actual,Technology,,
2014-12-01,20893.192,Actual,Technology,,
2015-01-01,4625.354,Actual,Technology,,
2015-02-01,3448.9700000000003,Actual,Technology,,
2015-03-01,10343.922,Actual,Technology,,
2015-04-01,11160.952000000001,Actual,Technology,,
2015-05-01,11643.0,Actual,Technology,,
2015-06-01,6435.366,Actual,Technology,,
2015-07-01,10370.966,Actual,Technology,,
2015-08-01,15524.632000000001,Actual,Technology,,
2015-09-01,19017.128,Actual,Technology,,
2015-10-01,10704.89,Actual,Technology,,
2015-11-01,23873.601,Actual,Technology,,
2015-12-01,35632.028,Actual,Technology,,
2016-01-01,5620.066,Actual,Technology,,
2016-02-01,12258.914,Actual,Technology,,
2016-03-01,21567.852,Actual,Technology,,
2016-04-01,14890.502,Actual,Technology,,
2016-05-01,28832.691,Actual,Technology,,
2016-06-01,16372.152,Actual,Technology,,
2016-07-01,13269.0,Actual,Technology,,
2016-08-01,9672.402,Actual,Technology,,
2016-09-01,22883.406,Actual,Technology,,
2016-10-01,31533.374,Actual,Technology,,
2016-11-01,27141.059,Actual,Technology,,
2016-12-01,22322.762,Actual,Technology,,
2017-01-01,16733.053,Actual,Technology,,
2017-02-01,6027.024,Actual,Technology,,
2017-03-01,33428.622,Actual,Technology,,
2017-04-01,12383.387,Actual,Technology,,
2017-05-01,13566.588,Actual,Technology,,
2017-06-01,17061.100000000002,Actual,Technology,,
2017-07-01,23209.926,Actual,Technology,,
2017-08-01,17619.162,Actual,Technology,,
2017-09-01,26942.603,Actual,Technology,,
2017-10-01,32855.663,Actual,Technology,,
2017-11-01,49918.773,Actual,Technology,,
2017-12-01,21984.91,Actual,Technology,,
2018-01-01,11928.396480128595,Forecast,Technology,-164.30120612998442,23835.69543692563
2018-02-01,15924.019674606312,Forecast,Technology,3088.2043416406,27903.373800936282
2018-03-01,28624.715658801353,Forecast,Technology,16150.059335424003,40011.167292884355
2018-04-01,21811.301072420007,Forecast,Technology,9670.529151091963,34457.33901818491
2018-05-01,20288.718936015353,Forecast,Technology,7456.625386053021,32657.536391409507
2018-06-01,21864.467023472935,Forecast,Technology,9299.920531699283,34266.80265519408
2018-07-01,18258.18544595037,Forecast,Technology,4851.329722039179,29805.820481171257
2018-08-01,22627.474983605174,Forecast,Technology,10154.707105614525,34235.8066083713
2018-09-01,29305.927068312107,Forecast,Technology,16447.21156247428,41112.39171737429
2018-10-01,31401.6371820723,Forecast,Technology,18725.55252832175,44041.799028616675
2018-11-01,37393.138795201754,Forecast,Technology,24556.694723523124,49701.781355635074
2018-12-01,34948.8472983551,Forecast,Technology,22016.086858147963,47886.30150077612
2019-01-01,14890.217346227646,Forecast,Technology,2191.7332332796323,26454.537903241628
2019-02-01,18622.32365444428,Forecast,Technology,5629.28072534683,30811.899502590397
2019-03-01,31444.5127180845,Forecast,Technology,19446.908735388894,43475.48800658982
2019-04-01,24729.63815655337,Forecast,Technology,11649.513611273716,37385.2901083948
2019-05-01,23100.787010777593,Forecast,Technology,11087.601507819641,35231.09102328806
2019-06-01,24735.642919623227,Forecast,Technology,12060.10846541854,36337.0747510341
2019-07-01,21111.55862639876,Forecast,Technology,8238.262521618879,33636.73540350578
2019-08-01,25409.227951905053,Forecast,Technology,12385.560116960349,38528.43800439124
2019-09-01,32120.970308427793,Forecast,Technology,20490.099796398765,44620.66692778705
2019-10-01,34225.01141198295,Forecast,Technology,20506.39720908622,45967.76968662501
2019-11-01,40184.3130442694,Forecast,Technology,26894.844411247534,52458.237946786896
2019-12-01,37916.34894048363,Forecast,Technology,25140.823922461466,49631.68049109737
